influencer_name,Category,#Followers,#Posts,Likes,Comments,Total_Engagement,Engagement_Rate,Avg_Likes,Avg_Comments
makeupbynvs,beauty,1432.0,1,70.0,6.0,76.0,5.307262569832402,70.0,6.0
jaquelinevandoski,beauty,137600.0,2,29031.0,142.0,29173.0,21.201308139534884,14515.5,71.0
anisaartistry,beauty,64644.0,1,3125.0,33.0,3158.0,4.885217498917147,3125.0,33.0
rubina_muartistry,beauty,496406.0,2,15346.0,152.0,15498.0,3.1220412323783355,7673.0,76.0
glaminfusion,beauty,4717.0,2,941.0,172.0,1113.0,23.595505617977526,470.5,86.0
paisleymattes,beauty,108193.0,2,6581.0,131.0,6712.0,6.20372852217796,3290.5,65.5
meghanmakeup_,beauty,1430.0,2,113.0,2.0,115.0,8.041958041958042,56.5,1.0
mariana.beautyy,beauty,6460.0,5,752.0,28.0,780.0,12.074303405572756,150.4,5.6
michellechawkemakeup,beauty,5458.0,1,244.0,0.0,244.0,4.470502015390252,244.0,0.0
itsbeauty_bliss,beauty,24344.0,1,300.0,50.0,350.0,1.4377259283601709,300.0,50.0
shanmacmua,beauty,102974.0,1,3373.0,69.0,3442.0,3.3425913337347293,3373.0,69.0
makeupxsyd,beauty,8988.0,1,795.0,24.0,819.0,9.11214953271028,795.0,24.0
sandijarquin,beauty,17609.0,1,379.0,4.0,383.0,2.1750241353853146,379.0,4.0
meninadibatom,beauty,10020.0,1,83.0,1.0,84.0,0.8383233532934131,83.0,1.0
virginia_maccagno,beauty,35623.0,2,1795.0,9.0,1804.0,5.064143951941161,897.5,4.5
stephjoyner1989,beauty,5532.0,1,274.0,137.0,411.0,7.429501084598698,274.0,137.0
cindyloubindi,beauty,2696.0,3,386.0,22.0,408.0,15.133531157270031,128.66666666666666,7.333333333333333
hollifer__,beauty,32078.0,3,8479.0,152.0,8631.0,26.906290915892512,2826.3333333333335,50.666666666666664
sayehsmakeup,beauty,203351.0,3,10959.0,128.0,11087.0,5.452149239492306,3653.0,42.666666666666664
canadian.muas,beauty,1462.0,1,55.0,4.0,59.0,4.035567715458276,55.0,4.0
jwmua,beauty,31530.0,1,1139.0,17.0,1156.0,3.666349508404694,1139.0,17.0
farahpromakeup,beauty,457281.0,4,11849.0,106.0,11955.0,2.614366221207529,2962.25,26.5
camouflageandbalayage,beauty,165757.0,1,3338.0,38.0,3376.0,2.0367163981008343,3338.0,38.0
with_sabrina,beauty,6252.0,1,182.0,0.0,182.0,2.91106845809341,182.0,0.0
carmenvalladolid_,beauty,3274.0,3,515.0,9.0,524.0,16.0048869883934,171.66666666666666,3.0
ruthiebarone,beauty,71013.0,1,4211.0,18.0,4229.0,5.955247630715503,4211.0,18.0
annette_updo_artist,beauty,73963.0,2,2199.0,8.0,2207.0,2.983924394629747,1099.5,4.0
amypigeonmua,beauty,17975.0,2,830.0,18.0,848.0,4.717663421418637,415.0,9.0
